,id,acbid,founded_year
0,1,CLA,1963.0
1,2,EST,1948.0
2,3,BAS,1959.0
3,4,AND,1970.0
4,5,BAR,1926.0
5,6,SEV,1987.0
6,7,RON,1977.0
7,8,MAN,1931.0
8,9,FUE,1981.0
9,10,MAD,1931.0
10,11,CAN,1939.0
11,12,OBR,1970.0
12,13,BLB,2000.0
13,14,ZZA,2002.0
14,15,JOV,1930.0
15,16,MUR,1985.0
16,17,PAM,1986.0
17,18,GBC,2001.0
18,19,VAL,1976.0
19,20,ALI,1994.0
20,21,GRN,1994.0
21,22,MEN,1900.0
22,23,GIR,1962.0
23,24,LEO,
24,25,BRE,1966.0
25,26,TNF,1996.0
26,27,LLE,1997.0
27,28,CAC,1961.0
28,29,GIJ,1982.0
29,30,TOR,1975.0
30,31,ORE,1979.0
31,32,HLV,
32,33,SAL,
33,34,ZAR,
34,35,HUE,
